bim360_account_id,bim360_project_id,relationship_guid,item1_domain,item1_entitytype,item1_id,item2_domain,item2_entitytype,item2_id,created_on,deleted_on,is_deleted,is_service_owned
60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,c1c2c307-100f-4247-a1b9-fec7e34a66a9,autodesk-bim360-asset,asset,63add636-d329-44d4-b1e3-5c496ab6d430,autodesk-bim360-issue,issue,485b4cc0-2a42-4339-a183-efead9dc61c9,2025-05-08 06:55:24.004814,,f,t
60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,21cb5f47-aea0-4cd1-9249-d26d9d5ba26b,autodesk-bim360-issue,issue,485b4cc0-2a42-4339-a183-efead9dc61c9,autodesk-bim360-asset,asset,17770098-8eb2-4f9d-86e9-b20e30331594,2025-05-08 06:55:24.008389,,f,t
60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,bb57b812-e5fc-48dc-a545-7f9103c7afcd,autodesk-bim360-issue,issue,485b4cc0-2a42-4339-a183-efead9dc61c9,autodesk-bim360-asset,asset,3dce01df-46af-4689-8ab0-ecaa7e6bc925,2025-05-08 06:55:24.011666,,f,t
60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,62c66bba-f46f-495f-8a3b-6922fdcf2967,autodesk-bim360-issue,issue,485b4cc0-2a42-4339-a183-efead9dc61c9,autodesk-bim360-asset,asset,bec0fa91-592f-46f0-8949-b7ea1899640e,2025-05-08 06:55:24.01819,,f,t
60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,3ab04d64-dded-4b8f-a4d0-55ea04de2442,autodesk-construction-schedule,activity,7e19db82-c0a4-42a6-a316-110e8e4017c4-25,autodesk-bim360-issue,issue,485b4cc0-2a42-4339-a183-efead9dc61c9,2025-05-08 06:56:04.96456,,f,t
60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,2f62aaeb-7a42-49d2-99fe-f9b995e7b76e,autodesk-bim360-issue,issue,526a3993-24ca-498f-ab92-23a3f5d01a38,autodesk-construction-markup,markupdocument,urn:adsk.wipprod:fs.file:vf.K0rEQEIlSj-d8oOKrdIYxw?version=4,2025-06-29 10:10:55.15838,,f,t
60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,a3f02caf-6d3c-4be8-b04a-60cc3999558c,autodesk-construction-markup,markup,c089ce66-a02d-4af5-b996-a350040fe05e,autodesk-bim360-issue,issue,526a3993-24ca-498f-ab92-23a3f5d01a38,2025-06-29 10:10:55.164742,,f,t
60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,f539ecce-8894-4bd7-9058-9795c72fc0df,autodesk-construction-markup,markupdocument,urn:adsk.wipprod:fs.file:vf.K0rEQEIlSj-d8oOKrdIYxw?version=4,autodesk-bim360-issue,issue,cb740bd2-dafc-4492-a7f9-b3eeaa8f652c,2025-06-29 10:11:39.819741,,f,t
60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,5e8ccf05-7baf-4e5e-a590-35671a34d1a9,autodesk-construction-markup,markup,b43e4214-582b-4844-9886-ab921761a6ab,autodesk-bim360-issue,issue,cb740bd2-dafc-4492-a7f9-b3eeaa8f652c,2025-06-29 10:11:39.821843,,f,t
60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,25b9f575-b02c-4962-b6af-e03c2ec63ed0,autodesk-bim360-issue,issue,00a8373c-8c20-4fc6-99f2-a43edd499b9d,autodesk-construction-markup,markupdocument,urn:adsk.wipprod:fs.file:vf.AB4SQHjvTsyA0cWY6syAvA?version=1,2025-05-09 05:13:01.191567,2025-06-29 12:00:08.211022,t,t
