id,schedule_id,bim360_account_id,bim360_project_id,source_unique_id,target_unique_id,type,created_at,updated_at
f2e0e42d-1658-46c0-8c3b-63f6af0c75bb,7e19db82-c0a4-42a6-a316-110e8e4017c4,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,21,24,FINISH_START,2024-03-07 00:57:15.409,2024-03-07 00:57:15.409
af40ad23-903a-4d70-b511-cf41ffb75299,7e19db82-c0a4-42a6-a316-110e8e4017c4,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,153,17,FINISH_START,2024-03-07 00:57:15.409,2024-03-07 00:57:15.409
041a88ee-851c-4875-ad06-c885ff7dbead,7e19db82-c0a4-42a6-a316-110e8e4017c4,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,6,279,FINISH_START,2024-03-07 00:57:15.409,2024-03-07 00:57:15.409
83cb3165-d5c5-4d61-b16d-76522e9fe412,7e19db82-c0a4-42a6-a316-110e8e4017c4,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,282,285,FINISH_START,2024-03-07 00:57:15.409,2024-03-07 00:57:15.409
cc47c774-1a71-42d6-b09d-ea6071dd49a0,7e19db82-c0a4-42a6-a316-110e8e4017c4,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,21,23,FINISH_START,2024-03-07 00:57:15.409,2024-03-07 00:57:15.409
1dd60071-d1ef-4573-aa48-f5ec3821bf34,7e19db82-c0a4-42a6-a316-110e8e4017c4,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,273,3,FINISH_START,2024-03-07 00:57:15.409,2024-03-07 00:57:15.409
04aa7823-ab13-4ab1-907a-4f272896436d,7e19db82-c0a4-42a6-a316-110e8e4017c4,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,25,27,FINISH_START,2024-03-07 00:57:15.409,2024-03-07 00:57:15.409
f466fc06-535d-4390-aa8a-3c0447ba0d9b,7e19db82-c0a4-42a6-a316-110e8e4017c4,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,19,25,FINISH_START,2024-03-07 00:57:15.409,2024-03-07 00:57:15.409
9a920c41-5a87-49fe-a34f-9a91acf57538,7e19db82-c0a4-42a6-a316-110e8e4017c4,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,2,275,FINISH_START,2024-03-07 00:57:15.409,2024-03-07 00:57:15.409
4b77dda1-2140-4123-876d-5302fc6cbb3b,7e19db82-c0a4-42a6-a316-110e8e4017c4,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,282,284,FINISH_START,2024-03-07 00:57:15.409,2024-03-07 00:57:15.409
c1135da9-f61b-434d-be5c-223deb933cb4,7e19db82-c0a4-42a6-a316-110e8e4017c4,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,24,25,FINISH_START,2024-03-07 00:57:15.409,2024-03-07 00:57:15.409
