id,bim360_account_id,bim360_project_id,meeting_id,order_index,name,created_by,updated_by,created_at,updated_at,deleted_at
c329c119-b230-4850-bd41-9d7311ca3562,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,797f5d85-6961-44bb-9cc6-a6eedf942af2,4,Raj to provide preliminary transfer-beam shop drawings (Due 05 Aug 2025),7VZ2Q8PTMR3E7H96,7VZ2Q8PTMR3E7H96,2025-07-26 04:31:10,2025-07-26 04:34:18,2025-07-26 04:34:18
9e74dc53-09b0-4246-84d9-37ed9a54f660,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,797f5d85-6961-44bb-9cc6-a6eedf942af2,4,Building Services (MEP),7VZ2Q8PTMR3E7H96,7VZ2Q8PTMR3E7H96,2025-07-26 04:35:14,2025-07-26 04:37:11,2025-07-26 04:37:11
aa0a529c-2536-4673-9aa9-8d096fe09015,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,797f5d85-6961-44bb-9cc6-a6eedf942af2,4,Building Services (MEP),7VZ2Q8PTMR3E7H96,7VZ2Q8PTMR3E7H96,2025-07-26 04:38:38,2025-07-26 04:38:38,
486b55dd-9d51-45f9-944d-6696c863a1fb,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,797f5d85-6961-44bb-9cc6-a6eedf942af2,5,Digital / BIM Coordination,7VZ2Q8PTMR3E7H96,7VZ2Q8PTMR3E7H96,2025-07-26 04:41:06,2025-07-26 04:41:06,
2b80f8d7-9687-4991-848c-28c7adf1f88b,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,969a33ec-c1bd-4c4f-bcc1-fe3fa0ed838c,2,Architectural Updates,7VZ2Q8PTMR3E7H96,7VZ2Q8PTMR3E7H96,2025-10-07 07:11:54,2025-10-07 07:12:38,2025-10-07 07:12:38
287b0882-2bb8-4c69-944f-afa54ea89151,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,969a33ec-c1bd-4c4f-bcc1-fe3fa0ed838c,1,Building Services (MEP),7VZ2Q8PTMR3E7H96,7VZ2Q8PTMR3E7H96,2025-10-07 07:11:54,2025-10-07 07:12:43,2025-10-07 07:12:43
547c96df-1fa1-438a-939d-8ca657425b2c,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,969a33ec-c1bd-4c4f-bcc1-fe3fa0ed838c,3,Structural Coordination,7VZ2Q8PTMR3E7H96,7VZ2Q8PTMR3E7H96,2025-10-07 07:11:54,2025-10-07 07:12:35,2025-10-07 07:12:35
c7163f14-856b-4a4d-aac5-157a74fec0d8,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,969a33ec-c1bd-4c4f-bcc1-fe3fa0ed838c,1,Digital / BIM Coordination,7VZ2Q8PTMR3E7H96,7VZ2Q8PTMR3E7H96,2025-10-07 07:11:54,2025-10-07 07:12:45,2025-10-07 07:12:45
28650dc7-e186-43aa-818f-c2762ffad6ae,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,969a33ec-c1bd-4c4f-bcc1-fe3fa0ed838c,1,Welcome & Purpose,7VZ2Q8PTMR3E7H96,7VZ2Q8PTMR3E7H96,2025-10-07 07:11:54,2025-10-07 07:12:41,2025-10-07 07:12:41
cdade168-7dcb-4e87-91d4-b003b5264058,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,969a33ec-c1bd-4c4f-bcc1-fe3fa0ed838c,1,1. Welcome & Purpose,7VZ2Q8PTMR3E7H96,7VZ2Q8PTMR3E7H96,2025-10-07 07:18:14,2025-10-07 07:18:14,
