id,bim360_account_id,bim360_project_id,uid,feature_bound_uid,feature_bound_type,type,created_by,created_at,updated_by,updated_at,deleted,deleted_by,deleted_at,markup_text
219640769,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,56fc50d8-e604-4bca-8cde-58257d918ff9,,,plangrid/rect,7VZ2Q8PTMR3E7H96,2023-10-11 01:29:46.099584,7VZ2Q8PTMR3E7H96,2023-10-11 01:29:46.099584,f,,,
219640684,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,d74c923f-a018-4a9a-a1a6-ee2d14b5ab35,eb707cd7-88b3-4d83-8053-15d5a85cd328,issue,plangrid/stamp,7VZ2Q8PTMR3E7H96,2023-10-11 01:26:33.774964,7VZ2Q8PTMR3E7H96,2023-10-11 01:27:02.218001,f,,,D
219640768,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,c7154e38-ebc1-4ed0-b3cf-b03e7908069f,,,plangrid/rect,7VZ2Q8PTMR3E7H96,2023-10-11 01:29:43.118713,7VZ2Q8PTMR3E7H96,2023-10-11 01:29:43.118713,f,,,
219640770,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,f4d0fbfd-54f7-4bb8-a075-4f0329f8e5f0,,,plangrid/rect,7VZ2Q8PTMR3E7H96,2023-10-11 01:29:52.417594,7VZ2Q8PTMR3E7H96,2023-10-11 01:29:52.417594,f,,,
910392922,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,f59aeb20-7c35-4992-b612-4b406773530e,7bcf0a8a-a834-4163-9a06-c3d5cf5df79f,issue,plangrid/stamp,7VZ2Q8PTMR3E7H96,2025-10-10 01:55:51.909013,7VZ2Q8PTMR3E7H96,2025-10-10 01:55:51.909013,f,,,
676690180,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,0bde5dbc-3fbf-4e13-98a8-cff234715dfb,00a8373c-8c20-4fc6-99f2-a43edd499b9d,issue,plangrid/stamp,7VZ2Q8PTMR3E7H96,2025-05-09 05:12:59.96735,7VZ2Q8PTMR3E7H96,2025-05-09 05:12:59.96735,f,,,
741814318,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,c089ce66-a02d-4af5-b996-a350040fe05e,526a3993-24ca-498f-ab92-23a3f5d01a38,issue,plangrid/stamp,7VZ2Q8PTMR3E7H96,2025-06-29 10:10:54.493587,7VZ2Q8PTMR3E7H96,2025-06-29 10:10:54.493587,f,,,
741814333,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,b43e4214-582b-4844-9886-ab921761a6ab,cb740bd2-dafc-4492-a7f9-b3eeaa8f652c,issue,plangrid/stamp,7VZ2Q8PTMR3E7H96,2025-06-29 10:11:39.401176,7VZ2Q8PTMR3E7H96,2025-06-29 10:11:39.401176,f,,,
741818733,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,14e29201-82ce-4375-bf19-d7d407b5354f,04e4ab7c-308d-4ffd-ae9a-e3058807e791,issue,plangrid/stamp,7VZ2Q8PTMR3E7H96,2025-06-29 12:01:01.793276,7VZ2Q8PTMR3E7H96,2025-06-29 12:01:01.793276,f,,,
758735799,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,a4e61ee0-ab18-4e05-a60d-89ffd4f5fc82,adc8af62-e8a3-4d18-bddf-c087f470c803,issue,plangrid/stamp,7VZ2Q8PTMR3E7H96,2025-07-14 05:01:43.847327,7VZ2Q8PTMR3E7H96,2025-07-14 05:01:43.847327,f,,,
